City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Yellowknife,CA,62.456,-114.3525,260.6,89,90,3.6,light snow
127,Upernavik,GL,72.7868,-56.1549,258.84,92,100,4.74,overcast clouds
128,Taltal,CL,-25.4,-70.4833,290.66,76,26,2.04,scattered clouds
129,Padang,ID,-0.9492,100.3543,298.18,93,100,0.74,light rain
130,Qaanaaq,GL,77.484,-69.3632,253.31,72,79,1.69,broken clouds
131,Saint George,US,37.1041,-113.5841,289.41,35,1,0.89,clear sky
132,Maragogi,BR,-9.0122,-35.2225,299.28,79,21,5.08,few clouds
133,Bambanglipuro,ID,-7.95,110.2833,289.6,83,96,1.62,overcast clouds
134,Ahipara,NZ,-35.1667,173.1667,294.57,92,100,3.25,moderate rain
135,Lensk,RU,60.7253,114.9278,248.14,98,100,1.62,overcast clouds
136,Hit,IQ,33.6416,42.8251,287.05,40,91,3.64,overcast clouds
137,Maniitsoq,GL,65.4167,-52.9,266.28,65,7,2.27,clear sky
138,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,299.34,79,22,4.97,few clouds
139,Kaitangata,NZ,-46.2817,169.8464,288.67,65,62,2.32,broken clouds
140,Khatanga,RU,71.9667,102.5,226.97,99,80,1.72,broken clouds
141,Inhambane,MZ,-23.865,35.3833,298.88,95,10,3.45,clear sky
142,Mwanza,TZ,-2.5167,32.9,294.33,81,97,6.21,moderate rain
143,Ambilobe,MG,-13.2,49.05,295.9,79,7,1.77,clear sky
144,Saint-Philippe,RE,-21.3585,55.7679,298.92,74,80,5.06,broken clouds
145,Butaritari,KI,3.0707,172.7902,301.27,71,74,7.32,broken clouds
146,Hasaki,JP,35.7333,140.8333,283.27,52,59,9.51,broken clouds
147,Port Alfred,ZA,-33.5906,26.891,294.83,96,100,6.36,overcast clouds
148,Severo-Kurilsk,RU,50.6789,156.125,273.81,87,80,5.57,broken clouds
149,Sainte-Suzanne,RE,-20.9061,55.6089,299.27,78,75,9.26,broken clouds
150,Benguela,AO,-12.5763,13.4055,298.37,82,91,1.81,overcast clouds
151,Kamina,CD,-8.7386,24.9906,291.63,98,100,3.63,light rain
152,Ballina,AU,-28.8667,153.5667,295.17,84,90,3.09,overcast clouds
153,Clyde River,CA,70.4692,-68.5914,254.28,92,90,4.63,light snow
154,Osypenko,UA,46.9136,36.8253,277.4,74,100,9.14,overcast clouds
155,Mtsensk,RU,53.2766,36.5733,271.03,84,98,4.87,overcast clouds
156,Vao,NC,-22.6667,167.4833,297.41,93,100,6.4,overcast clouds
157,Puerto Cabezas,NI,14.0351,-83.3888,301.13,83,75,3.09,broken clouds
158,Kruisfontein,ZA,-34.0033,24.7314,293.64,94,100,3.9,overcast clouds
159,San Juan,AR,-31.5375,-68.5364,298.23,40,7,8.66,clear sky
