City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1213,Andros Town,BS,78.76,clear sky,24.7,-77.7667,Hanks place
1216,Eirunepe,BR,76.8,broken clouds,-6.6603,-69.8736,Atrás de você
1223,Cururupu,BR,79.2,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
1227,Pattani,TH,76.71,overcast clouds,6.75,100.4167,Tobias Kleeberg
1229,Dhidhdhoo,MV,81.34,overcast clouds,6.8833,73.1,Dhidhoo beach
1230,Banjar,ID,78.66,light rain,-8.19,114.9675,The Hamsa Resort
1235,Pouebo,NC,76.98,moderate rain,-20.4,164.5667,RIVÂT LODGE
1237,Bima,ID,79.36,light rain,-8.4667,118.7167,Lambitu Hotel
1238,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
1239,Wamba,NG,75.79,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
1241,Labuhan,ID,78.58,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
1249,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
1268,Sao Paulo Do Potengi,BR,82.51,few clouds,-5.895,-35.7628,Pousada e Restaurante Carne Assada do Ari
1269,Charters Towers,AU,83.55,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
1270,Puerto Maldonado,PE,86.4,scattered clouds,-12.6,-69.1833,Wasai Hotel
1271,Kirakira,SB,83.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
1274,Waingapu,ID,81.48,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
1276,Martapura,ID,77.09,light rain,-3.4167,114.85,Montana Hotel Syariah
1277,Kieta,PG,85.1,light rain,-6.2167,155.6333,Uruna Bay Retreat
1285,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
1286,Zihuatanejo,MX,83.14,clear sky,17.6333,-101.55,La Casa Que Canta
1288,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
1291,Tsabong,BW,77.05,overcast clouds,-26.0217,22.401,Springbok Motel
1292,Muli,MV,80.42,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
1296,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
1297,Jizan,SA,76.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
1302,Rio De Janeiro,BR,77.0,mist,-22.9028,-43.2075,Hotel Málaga
1306,Puerto Rondon,CO,80.33,broken clouds,6.2805,-71.1,Urbanización Santa Clara
1307,Progreso,MX,84.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
1308,Amboasary,MG,76.84,few clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
1314,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
1315,Garissa,KE,78.24,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
1317,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
1318,Borba,BR,75.94,light rain,-4.3878,-59.5939,Hotel da Amazônia
1330,Niamey,NE,77.29,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
1336,Jacarau,BR,76.08,few clouds,-6.6122,-35.2928,EmEIF senador rui carneiro
1340,Foso,GH,76.84,overcast clouds,5.7012,-1.2866,Pristina Cottage
1342,Jimani,DO,84.09,few clouds,18.4917,-71.8502,HOTEL LA TORRE
1347,Kimbe,PG,78.22,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
1348,Basco,PH,75.97,broken clouds,20.4487,121.9702,Nathaniel's Lodge
1350,Port-Gentil,GA,79.45,overcast clouds,-0.7193,8.7815,Fengshui Residence
1358,Tubuala,PA,82.51,overcast clouds,9.5167,-79.0333,Río Nabagana
1360,Daru,PG,79.16,overcast clouds,-9.0763,143.2092,Daru Lodge
1361,Roebourne,AU,89.94,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
1363,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
1366,Sumbe,AO,76.91,moderate rain,-11.2061,13.8437,Hotel Ritz Sumbe
1368,Nisia Floresta,BR,83.21,few clouds,-6.0911,-35.2086,Rancho Crepusculo
1371,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1376,Rikitea,PF,77.65,light rain,-23.1203,-134.9692,People ThankYou
1379,Patnanungan,PH,78.67,overcast clouds,14.7833,122.1833,Villa Caesar
1385,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
1386,Hilo,US,80.11,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1389,Arraial Do Cabo,BR,76.69,light rain,-22.9661,-42.0278,Pousada Porto Praia
1400,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1402,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
1404,Adiake,CI,83.79,scattered clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
1410,Gonaives,HT,82.38,clear sky,19.45,-72.6833,Vertières Doux Séjour
1412,Samarai,PG,83.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
1415,La Plata,AR,78.71,broken clouds,-34.9215,-57.9545,Hotel Corregidor
1418,Hithadhoo,MV,80.83,overcast clouds,-0.6,73.0833,Scoop Guest House
1421,Quelimane,MZ,82.35,clear sky,-17.8786,36.8883,Hotel Flamingo
1425,Sao Joao Da Barra,BR,76.21,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
1427,Catuday,PH,77.05,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
1435,Gizo,SB,84.45,broken clouds,-8.103,156.8419,Imagination Island
1436,Dingle,PH,76.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
1437,Isangel,VU,83.21,overcast clouds,-19.55,169.2667,Tanna Lodge
1438,Alice Springs,AU,80.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
1441,The Hammocks,US,80.62,clear sky,25.6715,-80.4445,Casa tío Hernan
1442,Sibolga,ID,75.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
1449,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
1451,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
1454,Byron Bay,AU,75.18,overcast clouds,-28.65,153.6167,Backpackers Inn
1460,Bubaque,GW,81.21,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
1465,Luchenza,MW,77.38,overcast clouds,-16.0069,35.3095,Mbumba Lodge
1467,Cabo San Lucas,MX,79.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1478,Atuona,PF,79.11,few clouds,-9.8,-139.0333,Villa Enata
1490,Lodwar,KE,82.76,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
1491,Lorengau,PG,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1492,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
1495,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
1499,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
1502,Maragogi,BR,79.03,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
1508,Sao Jose Da Coroa Grande,BR,79.14,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
1511,Inhambane,MZ,78.31,clear sky,-23.865,35.3833,Oceano
1514,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1515,Butaritari,KI,82.62,broken clouds,3.0707,172.7902,Isles Sunset Lodge
1519,Sainte-Suzanne,RE,77.22,overcast clouds,-20.9061,55.6089,Gites Ango
1520,Benguela,AO,77.4,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
1526,Vao,NC,75.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
1527,Puerto Cabezas,NI,82.36,broken clouds,14.0351,-83.3888,Cabaña Caribe
1529,San Juan,AR,77.14,clear sky,-31.5375,-68.5364,Hotel Provincial
1531,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
1536,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
1540,Cayenne,GF,77.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
1544,Mana,GF,76.59,overcast clouds,5.6592,-53.7767,LE SAMANA
1546,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
1550,Rosario,AR,75.81,light rain,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
1551,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
